respondent_id,survey_date,country,age,gender,satisfaction_score,nps_score,purchase_intent,channel
2114,2024-09-23,Italy,45 to 54,F,9,7,Likely,Social
2115,2024-09-24,Brazil,45 to 54,Other,96,3,Very Likely,Mobile
2116,2024-09-25,Germany,45 to 54,Other,75,10,Likely,Social
2117,2024-09-26,Belgium,25 to 34,F,58,3,Unlikely,Mobile
2118,2024-09-27,Netherlands,45 to 54,F,42,0,Unlikely,Mobile
2119,2024-09-28,Italy,25 to 34,Other,38,8,Very Likely,Online
2120,2024-09-29,Australia,45 to 54,M,96,8,Very Likely,Retail
2121,2024-09-30,Japan,25 to 34,Other,40,9,Unlikely,Mobile
2122,2024-10-01,Canada,55 plus,Other,74,9,Very Unlikely,Mobile
2123,2024-10-02,China,55 plus,F,95,8,Likely,Online
2124,2024-10-03,Netherlands,18 to 24,F,9,5,Likely,Social
2125,2024-10-04,UK,18 to 24,Other,74,6,Neutral,Mobile
2126,2024-10-05,France,35 to 44,F,4,10,Very Unlikely,Retail
2127,2024-10-06,Italy,35 to 44,F,22,6,Unlikely,Online
2128,2024-10-07,Spain,45 to 54,M,84,1,Very Unlikely,Online
2129,2024-10-08,Brazil,25 to 34,Other,81,10,Very Unlikely,Online
2130,2024-10-09,Germany,55 plus,Other,88,1,Neutral,Online
2131,2024-10-10,USA,25 to 34,Other,83,10,Very Likely,Retail
2132,2024-10-11,Germany,55 plus,Other,29,2,Neutral,Social
2133,2024-10-12,Australia,35 to 44,F,49,4,Very Likely,Retail
2134,2024-10-13,Spain,18 to 24,Other,41,5,Very Likely,Online
2135,2024-10-14,Brazil,35 to 44,M,76,4,Unlikely,Online
2136,2024-10-15,China,25 to 34,F,87,8,Very Likely,Online
2137,2024-10-16,USA,25 to 34,Other,44,9,Likely,Social
2138,2024-10-17,Australia,18 to 24,F,34,6,Very Unlikely,Retail
2139,2024-10-18,Germany,25 to 34,Other,40,1,Likely,Social
2140,2024-10-19,Belgium,45 to 54,F,40,3,Very Likely,Online
2141,2024-10-20,Australia,25 to 34,Other,22,1,Neutral,Retail
2142,2024-10-21,USA,25 to 34,M,6,8,Neutral,Retail
2143,2024-10-22,Brazil,35 to 44,M,28,1,Neutral,Retail
2144,2024-10-23,UK,25 to 34,Other,21,6,Very Unlikely,Retail
2145,2024-10-24,India,18 to 24,Other,2,2,Very Likely,Online
2146,2024-10-25,Germany,18 to 24,M,82,0,Unlikely,Retail
2147,2024-10-26,Italy,45 to 54,M,63,10,Unlikely,Retail
2148,2024-10-27,Italy,25 to 34,F,4,4,Neutral,Retail
2149,2024-10-28,Netherlands,35 to 44,M,23,1,Likely,Social
2150,2024-10-29,Canada,35 to 44,F,8,2,Neutral,Mobile
2151,2024-10-30,Brazil,25 to 34,M,77,0,Likely,Online
2152,2024-10-31,Canada,35 to 44,M,29,3,Very Unlikely,Mobile
2153,2024-11-01,France,18 to 24,Other,26,3,Unlikely,Mobile
2154,2024-11-02,Canada,35 to 44,F,78,7,Very Unlikely,Online
2155,2024-11-03,UK,35 to 44,M,44,9,Likely,Mobile
2156,2024-11-04,Canada,45 to 54,F,37,0,Neutral,Mobile
2157,2024-11-05,Canada,45 to 54,F,27,9,Very Likely,Retail
2158,2024-11-06,Japan,55 plus,Other,82,5,Very Likely,Mobile
2159,2024-11-07,Spain,18 to 24,F,72,8,Unlikely,Mobile
2160,2024-11-08,UK,18 to 24,F,45,0,Very Likely,Social
2161,2024-11-09,Germany,35 to 44,Other,12,4,Very Unlikely,Retail
2162,2024-11-10,Spain,18 to 24,M,82,1,Very Likely,Retail
2163,2024-11-11,UK,18 to 24,M,45,7,Neutral,Online
2164,2024-11-12,Netherlands,35 to 44,F,3,3,Very Likely,Online
2165,2024-11-13,UK,55 plus,Other,83,6,Unlikely,Retail
2166,2024-11-14,USA,35 to 44,M,79,9,Very Unlikely,Social
2167,2024-11-15,France,45 to 54,Other,54,9,Neutral,Retail
2168,2024-11-16,UK,45 to 54,Other,52,3,Very Likely,Online
2169,2024-11-17,Spain,35 to 44,Other,17,8,Very Unlikely,Mobile
2170,2024-11-18,USA,25 to 34,Other,64,0,Unlikely,Mobile
2171,2024-11-19,Japan,25 to 34,F,95,4,Likely,Mobile
2172,2024-11-20,Australia,45 to 54,Other,71,5,Likely,Social
2173,2024-11-21,Spain,55 plus,Other,87,4,Unlikely,Social
2174,2024-11-22,Spain,55 plus,F,46,9,Unlikely,Mobile
2175,2024-11-23,Italy,18 to 24,F,90,7,Likely,Social
2176,2024-11-24,Italy,25 to 34,M,93,2,Neutral,Retail
2177,2024-11-25,Italy,25 to 34,F,54,0,Neutral,Mobile
2178,2024-11-26,Australia,35 to 44,F,99,1,Very Unlikely,Social
2179,2024-11-27,Netherlands,25 to 34,F,8,5,Very Unlikely,Retail
